,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms","Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area Small Area FMRs By Unit Bedrooms"
,ZIP Code,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
218,30319,"$1,990","$2,040","$2,300","$2,800","$3,420"
219,30320,"$1,140","$1,170","$1,320","$1,610","$1,960"
220,30321,"$1,410","$1,440","$1,630","$1,980","$2,420"
221,30322,"$1,350","$1,380","$1,560","$1,900","$2,320"
222,30324,"$2,020","$2,060","$2,330","$2,840","$3,460"
223,30325,"$1,410","$1,440","$1,630","$1,980","$2,420"
224,30326,"$2,020","$2,060","$2,330","$2,840","$3,460"
225,30327,"$1,870","$1,910","$2,160","$2,630","$3,210"
226,30328,"$1,810","$1,850","$2,090","$2,540","$3,110"
227,30329,"$1,680","$1,720","$1,940","$2,360","$2,880"
228,30331,"$1,250","$1,270","$1,440","$1,750","$2,140"
229,30332,"$1,410","$1,440","$1,630","$1,980","$2,420"
230,30333,"$1,350","$1,380","$1,560","$1,900","$2,320"
231,30334,"$1,410","$1,440","$1,630","$1,980","$2,420"
232,30336,"$1,310","$1,340","$1,510","$1,840","$2,240"
233,30337,"$1,020","$1,040","$1,180","$1,440","$1,750"
234,30338,"$2,010","$2,050","$2,320","$2,820","$3,450"
235,30339,"$1,820","$1,860","$2,100","$2,560","$3,120"
236,30340,"$1,360","$1,390","$1,570","$1,910","$2,330"
237,30341,"$1,570","$1,600","$1,810","$2,200","$2,690"
238,30342,"$1,710","$1,750","$1,980","$2,410","$2,940"
239,30343,"$1,410","$1,440","$1,630","$1,980","$2,420"
240,30344,"$1,240","$1,270","$1,430","$1,740","$2,130"
241,30345,"$1,520","$1,560","$1,760","$2,140","$2,620"
242,30346,"$1,800","$1,840","$2,080","$2,530","$3,090"
243,30349,"$1,190","$1,210","$1,370","$1,670","$2,040"
244,30350,"$1,620","$1,660","$1,870","$2,280","$2,780"
245,30354,"$1,100","$1,120","$1,270","$1,550","$1,890"
246,30355,"$1,410","$1,440","$1,630","$1,980","$2,420"
247,30356,"$1,350","$1,380","$1,560","$1,900","$2,320"
248,30357,"$1,410","$1,440","$1,630","$1,980","$2,420"
249,30358,"$1,410","$1,440","$1,630","$1,980","$2,420"
250,30359,"$1,350","$1,380","$1,560","$1,900","$2,320"
251,30360,"$1,320","$1,350","$1,520","$1,850","$2,260"
252,30361,"$1,410","$1,440","$1,630","$1,980","$2,420"
253,30362,"$1,350","$1,380","$1,560","$1,900","$2,320"
254,30363,"$2,020","$2,060","$2,330","$2,840","$3,460"
255,30364,"$1,410","$1,440","$1,630","$1,980","$2,420"
256,30366,"$1,350","$1,380","$1,560","$1,900","$2,320"
257,30368,"$1,410","$1,440","$1,630","$1,980","$2,420"
258,30377,"$1,410","$1,440","$1,630","$1,980","$2,420"
259,30380,"$1,410","$1,440","$1,630","$1,980","$2,420"
260,30385,"$1,410","$1,440","$1,630","$1,980","$2,420"
261,30388,"$1,410","$1,440","$1,630","$1,980","$2,420"
262,30396,"$1,410","$1,440","$1,630","$1,980","$2,420"
263,30398,"$1,410","$1,440","$1,630","$1,980","$2,420"
264,30506,"$1,110","$1,200","$1,350","$1,690","$1,960"
